_op,ScheduleDateLocalId,CalendarDate,Organisation.RefId,Term.LocalId,Schedule.LocalId,AcademicDay.LocalId,BellSchedule.LocalId,SchedulePeriodList.SchedulePeriodTime.Period.LocalId,SchedulePeriodList.SchedulePeriodTime.StartTime,SchedulePeriodList.SchedulePeriodTime.EndTime,RecordAudit.CreatedDateTime,RecordAudit.LastUpdatedDateTime
upsert,8007_2020_011,2020-02-11,8007,2020_8007_T1,8007_Sched_2020,8007_Day_E,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T12:55:30+1200,2020-05-27T12:55:45+1200,2020-05-27T12:56:00+1200,2020-05-27T12:56:15+1200,2020-05-27T12:56:30+1200,2020-05-27T12:56:45+1200","2020-05-27T12:55:30+1200,2020-05-27T12:55:45+1200,2020-05-27T12:56:00+1200,2020-05-27T12:56:15+1200,2020-05-27T12:56:30+1200,2020-05-27T12:56:45+1200"
upsert,8007_2020_012,2020-02-12,8007,2020_8007_T1,8007_Sched_2020,8007_Day_F,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T12:57:00+1200,2020-05-27T12:57:15+1200,2020-05-27T12:57:29+1200,2020-05-27T12:57:45+1200,2020-05-27T12:58:00+1200,2020-05-27T12:58:15+1200","2020-05-27T12:57:00+1200,2020-05-27T12:57:15+1200,2020-05-27T12:57:29+1200,2020-05-27T12:57:45+1200,2020-05-27T12:58:00+1200,2020-05-27T12:58:15+1200"
upsert,8007_2020_013,2020-02-13,8007,2020_8007_T1,8007_Sched_2020,8007_Day_A,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T12:58:30+1200,2020-05-27T12:58:45+1200,2020-05-27T12:59:00+1200,2020-05-27T12:59:15+1200,2020-05-27T12:59:30+1200,2020-05-27T12:59:45+1200","2020-05-27T12:58:30+1200,2020-05-27T12:58:45+1200,2020-05-27T12:59:00+1200,2020-05-27T12:59:15+1200,2020-05-27T12:59:30+1200,2020-05-27T12:59:45+1200"
upsert,8007_2020_014,2020-02-14,8007,2020_8007_T1,8007_Sched_2020,8007_Day_B,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T12:59:59+1200,2020-05-27T13:00:15+1200,2020-05-27T13:00:30+1200,2020-05-27T13:00:45+1200,2020-05-27T13:01:00+1200,2020-05-27T13:01:15+1200","2020-05-27T12:59:59+1200,2020-05-27T13:00:15+1200,2020-05-27T13:00:30+1200,2020-05-27T13:00:45+1200,2020-05-27T13:01:00+1200,2020-05-27T13:01:15+1200"
upsert,8007_2020_015,2020-02-17,8007,2020_8007_T1,8007_Sched_2020,8007_Day_C,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:01:29+1200,2020-05-27T13:01:45+1200,2020-05-27T13:02:00+1200,2020-05-27T13:02:15+1200,2020-05-27T13:02:30+1200,2020-05-27T13:02:45+1200","2020-05-27T13:01:29+1200,2020-05-27T13:01:45+1200,2020-05-27T13:02:00+1200,2020-05-27T13:02:15+1200,2020-05-27T13:02:30+1200,2020-05-27T13:02:45+1200"
upsert,8007_2020_016,2020-02-18,8007,2020_8007_T1,8007_Sched_2020,8007_Day_D,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:03:00+1200,2020-05-27T13:03:15+1200,2020-05-27T13:03:30+1200,2020-05-27T13:03:45+1200,2020-05-27T13:03:59+1200,2020-05-27T13:04:15+1200","2020-05-27T13:03:00+1200,2020-05-27T13:03:15+1200,2020-05-27T13:03:30+1200,2020-05-27T13:03:45+1200,2020-05-27T13:03:59+1200,2020-05-27T13:04:15+1200"
upsert,8007_2020_017,2020-02-19,8007,2020_8007_T1,8007_Sched_2020,8007_Day_E,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:04:30+1200,2020-05-27T13:04:45+1200,2020-05-27T13:05:00+1200,2020-05-27T13:05:15+1200,2020-05-27T13:05:30+1200,2020-05-27T13:05:45+1200","2020-05-27T13:04:30+1200,2020-05-27T13:04:45+1200,2020-05-27T13:05:00+1200,2020-05-27T13:05:15+1200,2020-05-27T13:05:30+1200,2020-05-27T13:05:45+1200"
upsert,8007_2020_018,2020-02-20,8007,2020_8007_T1,8007_Sched_2020,8007_Day_F,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:06:00+1200,2020-05-27T13:06:15+1200,2020-05-27T13:06:30+1200,2020-05-27T13:06:45+1200,2020-05-27T13:07:00+1200,2020-05-27T13:07:15+1200","2020-05-27T13:06:00+1200,2020-05-27T13:06:15+1200,2020-05-27T13:06:30+1200,2020-05-27T13:06:45+1200,2020-05-27T13:07:00+1200,2020-05-27T13:07:15+1200"
upsert,8007_2020_019,2020-02-21,8007,2020_8007_T1,8007_Sched_2020,8007_Day_A,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:07:30+1200,2020-05-27T13:07:45+1200,2020-05-27T13:08:00+1200,2020-05-27T13:08:15+1200,2020-05-27T13:08:30+1200,2020-05-27T13:08:44+1200","2020-05-27T13:07:30+1200,2020-05-27T13:07:45+1200,2020-05-27T13:08:00+1200,2020-05-27T13:08:15+1200,2020-05-27T13:08:30+1200,2020-05-27T13:08:44+1200"
upsert,8007_2020_020,2020-02-24,8007,2020_8007_T1,8007_Sched_2020,8007_Day_B,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:09:00+1200,2020-05-27T13:09:15+1200,2020-05-27T13:09:30+1200,2020-05-27T13:09:45+1200,2020-05-27T13:10:00+1200,2020-05-27T13:10:15+1200","2020-05-27T13:09:00+1200,2020-05-27T13:09:15+1200,2020-05-27T13:09:30+1200,2020-05-27T13:09:45+1200,2020-05-27T13:10:00+1200,2020-05-27T13:10:15+1200"
upsert,8007_2020_021,2020-02-25,8007,2020_8007_T1,8007_Sched_2020,8007_Day_C,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:10:30+1200,2020-05-27T13:10:45+1200,2020-05-27T13:11:00+1200,2020-05-27T13:11:14+1200,2020-05-27T13:11:30+1200,2020-05-27T13:11:45+1200","2020-05-27T13:10:30+1200,2020-05-27T13:10:45+1200,2020-05-27T13:11:00+1200,2020-05-27T13:11:14+1200,2020-05-27T13:11:30+1200,2020-05-27T13:11:45+1200"
upsert,8007_2020_022,2020-02-26,8007,2020_8007_T1,8007_Sched_2020,8007_Day_D,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:12:00+1200,2020-05-27T13:12:15+1200,2020-05-27T13:12:30+1200,2020-05-27T13:12:44+1200,2020-05-27T13:13:00+1200,2020-05-27T13:13:15+1200","2020-05-27T13:12:00+1200,2020-05-27T13:12:15+1200,2020-05-27T13:12:30+1200,2020-05-27T13:12:44+1200,2020-05-27T13:13:00+1200,2020-05-27T13:13:15+1200"
upsert,8007_2020_023,2020-02-27,8007,2020_8007_T1,8007_Sched_2020,8007_Day_E,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:13:30+1200,2020-05-27T13:13:45+1200,2020-05-27T13:14:00+1200,2020-05-27T13:14:15+1200,2020-05-27T13:14:30+1200,2020-05-27T13:14:45+1200","2020-05-27T13:13:30+1200,2020-05-27T13:13:45+1200,2020-05-27T13:14:00+1200,2020-05-27T13:14:15+1200,2020-05-27T13:14:30+1200,2020-05-27T13:14:45+1200"
upsert,8007_2020_024,2020-02-28,8007,2020_8007_T1,8007_Sched_2020,8007_Day_F,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:15:00+1200,2020-05-27T13:15:14+1200,2020-05-27T13:15:30+1200,2020-05-27T13:15:45+1200,2020-05-27T13:16:00+1200,2020-05-27T13:16:15+1200","2020-05-27T13:15:00+1200,2020-05-27T13:15:14+1200,2020-05-27T13:15:30+1200,2020-05-27T13:15:45+1200,2020-05-27T13:16:00+1200,2020-05-27T13:16:15+1200"
upsert,8007_2020_025,2020-03-02,8007,2020_8007_T1,8007_Sched_2020,8007_Day_A,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:16:30+1200,2020-05-27T13:16:45+1200,2020-05-27T13:17:00+1200,2020-05-27T13:17:15+1200,2020-05-27T13:17:30+1200,2020-05-27T13:17:45+1200","2020-05-27T13:16:30+1200,2020-05-27T13:16:45+1200,2020-05-27T13:17:00+1200,2020-05-27T13:17:15+1200,2020-05-27T13:17:30+1200,2020-05-27T13:17:45+1200"
upsert,8007_2020_026,2020-03-03,8007,2020_8007_T1,8007_Sched_2020,8007_Day_B,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:18:00+1200,2020-05-27T13:18:15+1200,2020-05-27T13:18:30+1200,2020-05-27T13:18:45+1200,2020-05-27T13:19:00+1200,2020-05-27T13:19:15+1200","2020-05-27T13:18:00+1200,2020-05-27T13:18:15+1200,2020-05-27T13:18:30+1200,2020-05-27T13:18:45+1200,2020-05-27T13:19:00+1200,2020-05-27T13:19:15+1200"
upsert,8007_2020_027,2020-03-04,8007,2020_8007_T1,8007_Sched_2020,8007_Day_C,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:19:30+1200,2020-05-27T13:19:45+1200,2020-05-27T13:19:59+1200,2020-05-27T13:20:15+1200,2020-05-27T13:20:30+1200,2020-05-27T13:20:45+1200","2020-05-27T13:19:30+1200,2020-05-27T13:19:45+1200,2020-05-27T13:19:59+1200,2020-05-27T13:20:15+1200,2020-05-27T13:20:30+1200,2020-05-27T13:20:45+1200"
upsert,8007_2020_028,2020-03-05,8007,2020_8007_T1,8007_Sched_2020,8007_Day_D,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:21:00+1200,2020-05-27T13:21:15+1200,2020-05-27T13:21:30+1200,2020-05-27T13:21:45+1200,2020-05-27T13:22:00+1200,2020-05-27T13:22:15+1200","2020-05-27T13:21:00+1200,2020-05-27T13:21:15+1200,2020-05-27T13:21:30+1200,2020-05-27T13:21:45+1200,2020-05-27T13:22:00+1200,2020-05-27T13:22:15+1200"
upsert,8007_2020_029,2020-03-06,8007,2020_8007_T1,8007_Sched_2020,8007_Day_E,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:22:29+1200,2020-05-27T13:22:45+1200,2020-05-27T13:23:00+1200,2020-05-27T13:23:15+1200,2020-05-27T13:23:30+1200,2020-05-27T13:23:45+1200","2020-05-27T13:22:29+1200,2020-05-27T13:22:45+1200,2020-05-27T13:23:00+1200,2020-05-27T13:23:15+1200,2020-05-27T13:23:30+1200,2020-05-27T13:23:45+1200"
upsert,8007_2020_030,2020-03-09,8007,2020_8007_T1,8007_Sched_2020,8007_Day_F,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:23:59+1200,2020-05-27T13:24:15+1200,2020-05-27T13:24:30+1200,2020-05-27T13:24:45+1200,2020-05-27T13:25:00+1200,2020-05-27T13:25:15+1200","2020-05-27T13:23:59+1200,2020-05-27T13:24:15+1200,2020-05-27T13:24:30+1200,2020-05-27T13:24:45+1200,2020-05-27T13:25:00+1200,2020-05-27T13:25:15+1200"
upsert,8007_2020_031,2020-03-10,8007,2020_8007_T1,8007_Sched_2020,8007_Day_A,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:25:30+1200,2020-05-27T13:25:45+1200,2020-05-27T13:26:00+1200,2020-05-27T13:26:15+1200,2020-05-27T13:26:29+1200,2020-05-27T13:26:45+1200","2020-05-27T13:25:30+1200,2020-05-27T13:25:45+1200,2020-05-27T13:26:00+1200,2020-05-27T13:26:15+1200,2020-05-27T13:26:29+1200,2020-05-27T13:26:45+1200"
upsert,8007_2020_032,2020-03-11,8007,2020_8007_T1,8007_Sched_2020,8007_Day_B,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:27:00+1200,2020-05-27T13:27:15+1200,2020-05-27T13:27:30+1200,2020-05-27T13:27:45+1200,2020-05-27T13:28:00+1200,2020-05-27T13:28:15+1200","2020-05-27T13:27:00+1200,2020-05-27T13:27:15+1200,2020-05-27T13:27:30+1200,2020-05-27T13:27:45+1200,2020-05-27T13:28:00+1200,2020-05-27T13:28:15+1200"
upsert,8007_2020_033,2020-03-12,8007,2020_8007_T1,8007_Sched_2020,8007_Day_C,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:28:30+1200,2020-05-27T13:28:45+1200,2020-05-27T13:29:00+1200,2020-05-27T13:29:15+1200,2020-05-27T13:29:30+1200,2020-05-27T13:29:45+1200","2020-05-27T13:28:30+1200,2020-05-27T13:28:45+1200,2020-05-27T13:29:00+1200,2020-05-27T13:29:15+1200,2020-05-27T13:29:30+1200,2020-05-27T13:29:45+1200"
upsert,8007_2020_034,2020-03-13,8007,2020_8007_T1,8007_Sched_2020,8007_Day_D,8007_Regular,"8007_HR,8007_P1,8007_P2,8007_P3,8007_P4,8007_P5","08:45:00+1200,09:00:00+1200,09:55:00+1200,11:00:00+1200,12:40:00+1200,13:45:00+1200","08:55:00+1200,09:50:00+1200,10:45:00+1200,11:50:00+1200,13:30:00+1200,14:45:00+1200","2020-05-27T13:30:00+1200,2020-05-27T13:30:15+1200,2020-05-27T13:30:30+1200,2020-05-27T13:30:45+1200,2020-05-27T13:31:00+1200,2020-05-27T13:31:14+1200","2020-05-27T13:30:00+1200,2020-05-27T13:30:15+1200,2020-05-27T13:30:30+1200,2020-05-27T13:30:45+1200,2020-05-27T13:31:00+1200,2020-05-27T13:31:14+1200"
